feature,importance,rank
stress_impact_dimension,0.07268658457535886,1
overwhelm_dimension,0.06840121904394131,2
Q9_encoded,0.0658247875795072,3
Q12_encoded,0.05364184212471154,4
stress_behavior_dimension,0.045858534286326164,5
emotional_strain_dimension,0.0371323678436361,6
Q19_encoded,0.03510299379586996,7
Q6_encoded,0.033389331057001016,8
Q5_encoded,0.03310239814902758,9
Q2_coding_technical_assessments,0.03307007850325367,10
Q7_encoded,0.029519382193222293,11
Q10_Internship_job_applications,0.02711124073698364,12
Q10_Fear_of_not_getting_a_job,0.026754073216838953,13
Q2_applying_for_jobs_internships,0.02145593146406474,14
Q3_encoded,0.01889233329780364,15
Q11_Happy,0.018793021010083056,16
academic_preparation_load,0.018761621858806865,17
Q2_placements_internships,0.017987720007652395,18
Q8_encoded,0.01785178438088339,19
Q11_Anxious,0.016714174863907878,20
Q11_Worried,0.016110609190119096,21
stress_persistence_dimension,0.015889257663771552,22
Q17_encoded,0.015397090640293331,23
Q11_Calm,0.013953683968623393,24
Q13_stress_aligned,0.0131660452848082,25
Q10_Uncertainty_about_career,0.012522685738354878,26
Q1_year_encoded,0.010803434561026108,27
Q14_encoded,0.010432393890536011,28
Q10_Time_management,0.009776519252396478,29
Q20_encoded,0.009468717176952681,30
Q16_encoded,0.009419552818577436,31
Q18_encoded,0.008895489465281526,32
Q10_Academic_workload,0.00823576562024842,33
Q10_Projects,0.0077205347302662505,34
recovery_difficulty_dimension,0.0075852237803507375,35
Q13_encoded,0.007402602624709746,36
Q2_regular_academic_semester,0.006974139625948765,37
Q10_Lack_of_sleep,0.00681176766918099,38
Q10_Coding_technical_assessments,0.006287505619058547,39
Q11_Lonely,0.0061931408309771774,40
Q10_Placement_preparation,0.0060772600765082625,41
Q10_Exams,0.006073212652159646,42
Q10_Relationship_social_concerns,0.005550790913282796,43
Q11_Irritated,0.005395691479097656,44
Q15_encoded,0.0053911442027126865,45
Q11_Neutral,0.005329331804399205,46
Q11_Tired,0.005042375108445736,47
Q11_Frustrated,0.004761928560169413,48
Q11_Overwhelmed,0.004362634910028008,49
Q2_working_on_academic_projects,0.00430825880520491,50
Q11_Sad,0.004063620244045821,51
Q25_Other,0.003696424771145012,52
Q25_Social_personal_issues,0.003478747587578314,53
Q10_Assignments,0.003356837535049015,54
Q10_Difficulty_balancing_academics_and_personal_life,0.0032565640172245876,55
Q25_Examinations,0.0032445002031804408,56
Q2_preparing_for_examinations,0.0032020575583051867,57
Q11_Motivated,0.002828546323720277,58
Q2_assignment_deadline_pressure,0.0027902597088082324,59
Q14_varies,0.0027477635590506966,60
Q25_Academic_workload,0.0026319256822033435,61
Q10_Competition_with_peers,0.002590218486488448,62
Q25_Coding_technical_assessments,0.002244543678520637,63
Q11_Other,0.002146837982893674,64
Q10_Academic_performance_grades,0.0021428503497445428,65
Q25_Career_uncertainty,0.001764755435841816,66
Q16_varies,0.001665815585373846,67
Q25_Placements_job_search,0.00141647909374875,68
Q11_Confident,0.0013159838480579996,69
Q10_Financial_concerns,0.001056504423436222,70
Q10_Family_expectations,0.000968555273213265,71
Q10_nothing,0.0,72
Q10_Other,0.0,73
Q25_Family_expectations,0.0,74
Q25_Financial_concerns,0.0,75
